,puzzle number,algorithm,heuristic,length of the search path,length of the solution,Execution time (seconds)
237,game2,gbfs,h2,17.0,8.0,0.017263
238,game6,A*,h5,1.0,1.0,0.003662
239,game6,gbfs,h2,0.0,1.0,0.00281
240,game44,A*,h1,9.0,3.0,0.011647
241,game9,gbfs,h1,2.0,3.0,0.005853
242,game37,A*,h1,5.0,3.0,0.008709
243,game13,gbfs,h4,25.0,9.0,0.027819
244,game1,A*,h4,22.0,5.0,0.008474
245,game19,gbfs,h4,2.0,2.0,0.006117
246,game16,A*,h3,8.0,6.0,0.009763
247,game28,gbfs,h4,1.0,1.0,0.004739
248,game10,A*,h4,2293.0,16.0,8.932976
249,game16,gbfs,h1,8.0,6.0,0.009834
250,game13,A*,h5,218.0,5.0,0.572768
251,game23,gbfs,h1,1.0,2.0,0.004475
252,game10,A*,h5,8030.0,15.0,289.229739
253,game49,gbfs,h3,7.0,4.0,0.009891
254,game48,A*,h3,1.0,2.0,0.001302
255,game13,gbfs,h1,16.0,6.0,0.021335
256,game48,A*,h5,0.0,1.0,0.000922
257,game27,gbfs,h5,152.0,23.0,0.156484
258,game5,A*,h5,21.0,3.0,0.023587
259,game16,gbfs,h4,9.0,6.0,0.010597
260,game38,A*,h2,1.0,2.0,0.004736
261,game12,gbfs,h5,35.0,6.0,0.048407
262,game11,A*,h4,4.0,2.0,0.009119
263,game38,gbfs,h3,1.0,2.0,0.004596
264,game4,A*,h3,2.0,3.0,0.006786
265,game50,gbfs,h4,1.0,1.0,0.004309
266,game24,A*,h1,1.0,2.0,0.003716
267,game18,gbfs,h4,5.0,4.0,0.009347
268,game6,A*,h1,0.0,1.0,0.002878
269,game47,gbfs,h2,3.0,3.0,0.005729
270,game44,A*,h5,33.0,3.0,0.039235
271,game28,gbfs,h2,0.0,1.0,0.002782
272,game19,A*,h5,8.0,2.0,0.014535
273,game1,gbfs,h4,7.0,6.0,0.003885
274,game7,A*,h5,9.0,2.0,0.01471
275,game47,gbfs,h4,4.0,3.0,0.006805
276,game49,A*,h4,34.0,4.0,0.037635
277,game10,gbfs,h5,9745.0,506.0,28.812339
278,game2,A*,h2,133.0,7.0,0.214915
279,game49,gbfs,h2,7.0,4.0,0.009848
280,game47,A*,h4,9.0,3.0,0.011354
281,game26,gbfs,h2,0.0,1.0,0.002902
282,game49,A*,h2,15.0,4.0,0.020041
283,game5,gbfs,h2,3.0,3.0,0.005771
284,game35,A*,h5,9.0,2.0,0.014524
285,game18,gbfs,h2,9.0,5.0,0.012803
286,game32,A*,h1,0.0,1.0,0.002929
287,game26,gbfs,h5,1.0,1.0,0.003523
288,game35,A*,h2,1.0,2.0,0.004225
289,game35,gbfs,h2,1.0,2.0,0.004231
290,game10,A*,h2,2872.0,15.0,12.472519
291,game27,gbfs,h4,65.0,15.0,0.060874
292,game47,A*,h1,8.0,3.0,0.010724
293,game50,gbfs,h2,0.0,1.0,0.002792
294,game46,A*,h4,20.0,6.0,0.024716
295,game11,gbfs,h3,1.0,2.0,0.004533
296,game1,A*,h1,22.0,5.0,0.005204
297,game49,gbfs,h5,13.0,4.0,0.015539
298,game27,A*,h3,114.0,9.0,0.258686
299,game6,gbfs,h1,0.0,1.0,0.002918
300,game1,A*,h5,0.0,1.0,0.001536
301,game50,gbfs,h3,0.0,1.0,0.002796
302,game16,A*,h5,114.0,5.0,0.212295
303,game44,gbfs,h3,22.0,6.0,0.026288
304,game1,A*,h2,22.0,5.0,0.008629
305,game19,gbfs,h2,1.0,2.0,0.004527
306,game9,A*,h2,3.0,3.0,0.007188
307,game46,gbfs,h4,9.0,7.0,0.012437
308,game12,A*,h2,3.0,3.0,0.007682
309,game4,gbfs,h2,2.0,3.0,0.006561
310,game50,A*,h2,0.0,1.0,0.003022
311,game26,gbfs,h1,0.0,1.0,0.002863
312,game9,A*,h3,2.0,3.0,0.005843
313,game42,gbfs,h5,19.0,7.0,0.00833
314,game26,A*,h1,0.0,1.0,0.003329
315,game1,gbfs,h1,7.0,6.0,0.002297
316,game3,A*,h4,4386.0,12.0,268.137178
317,game11,gbfs,h2,1.0,2.0,0.004498
318,game28,A*,h2,0.0,1.0,0.002868
319,game6,gbfs,h3,0.0,1.0,0.002804
320,game35,A*,h1,1.0,2.0,0.004255
321,game47,gbfs,h1,3.0,3.0,0.005833
322,game38,A*,h4,3.0,2.0,0.008388
323,game7,gbfs,h3,1.0,2.0,0.004232
324,game24,A*,h3,1.0,2.0,0.003692
325,game42,gbfs,h2,15.0,7.0,0.00774
326,game4,A*,h5,111.0,3.0,0.225826
327,game49,gbfs,h4,7.0,5.0,0.01015
328,game13,A*,h4,66.0,5.0,0.075183
329,game35,gbfs,h3,1.0,2.0,0.004357
330,game16,A*,h4,18.0,6.0,0.018556
331,game32,gbfs,h1,0.0,1.0,0.002765
332,game48,A*,h4,1.0,2.0,0.001147
333,game42,gbfs,h3,15.0,7.0,0.007475
334,game9,A*,h4,5.0,3.0,0.009556
335,game2,gbfs,h4,16.0,9.0,0.016426
336,game14,A*,h4,65.0,5.0,0.11541
337,game14,gbfs,h3,61.0,10.0,0.087926
338,game12,A*,h3,2.0,3.0,0.006397
339,game46,gbfs,h5,59.0,11.0,0.061388
340,game11,A*,h3,1.0,2.0,0.004625
341,game6,gbfs,h5,1.0,1.0,0.003577
342,game3,A*,h3,1028.0,13.0,24.299316
343,game23,gbfs,h5,5.0,2.0,0.009796
344,game18,A*,h5,232.0,4.0,0.491393
345,game13,gbfs,h2,16.0,6.0,0.021329
346,game28,A*,h5,1.0,1.0,0.004739
347,game3,gbfs,h3,1388.0,20.0,2.696192
348,game32,A*,h3,0.0,1.0,0.002914
349,game4,gbfs,h1,2.0,3.0,0.007092
350,game11,A*,h5,8.0,2.0,0.015329
351,game12,gbfs,h4,5.0,5.0,0.009978
